fold,split,sequences,residues,positive_residues,negative_residues,positive_rate
1,train,274,63269,8630,54639,0.1364017133193191
1,test,69,18500,2211,16289,0.11951351351351351
2,train,274,65249,8626,56623,0.13220125978942207
2,test,69,16520,2215,14305,0.13407990314769977
3,train,274,66523,8684,57839,0.13054131653713752
3,test,69,15246,2157,13089,0.1414797323888233
4,train,275,65399,8709,56690,0.1331671738099971
4,test,68,16370,2132,14238,0.13023824068417839
5,train,275,66636,8715,57921,0.1307851611741401
5,test,68,15133,2126,13007,0.14048767593999867
