negative_source,method,seen_test_auprc,seen_independent_auprc,unseen_independent_auprc
AS,epiTCR,0.83,0.70,0.51
AS,TCRGP,0.80,0.67,
AS,AntigenLM,,0.6250805970030132,0.5240773776367462
AS,TEIM,0.79,0.62,0.52
AS,TCR-BERT,0.78,0.62,
AS,TEPCAM,0.82,0.59,0.51
AS,ATM-TCR,0.78,0.58,0.51
AS,DLpTCR,0.7240098788178752,0.5767488145360963,0.4984169277484757
AS,ERGO-AE,0.75,0.57,0.51
AS,VitTCR,0.73,0.57,0.51
AS,PiTE,0.63,0.57,0.51
AS,UnifyImmun,0.684924987484157,0.5661802566712393,0.5126645649653876
AS,NetTCR,0.75,0.56,0.52
AS,TCR-H,0.69,0.56,0.53
AS,UniPMT,0.6720994336236272,0.5595416148173763,0.5115876544673557
AS,SETE,0.55,0.54,
AS,ERGO-II,0.6080445682097713,0.532143549030836,0.4981817514494403
AS,ImRex,0.59,0.53,0.50
AS,DeepTCR,0.51,0.53,0.51
AS,AttnTAP,0.59,0.52,0.50
AS,TEINet,0.59,0.52,0.51
AS,T-SCAPE,0.54143921073324,0.5157566431786131,0.4980305044283928
AS,vibtcr,0.50,0.51,0.50
AS,PanPep,0.5131096375508222,0.5070306753694281,0.5076514811488414
AS,ERGO-lstm,0.50,0.50,0.50
AS,MCMC,0.50,0.50,0.50
AS,TITAN,0.50,0.50,0.50
AS,TPBTE,0.50,0.50,0.50
AS,DLpTCR-RESNET,0.41,0.47,0.49
AS,DLpTCR-CNN,0.38,0.45,0.49
AS,DLpTCR-FULL,0.36,0.43,0.49
