negative_source,method,seen_test_auprc,seen_independent_auprc,unseen_independent_auprc
HS,TEPCAM,0.85,0.83,0.77
HS,AntigenLM,,0.82,0.76
HS,epiTCR,0.84,0.80,0.73
HS,TEIM,0.83,0.79,0.73
HS,AttnTAP,0.82,0.79,0.77
HS,ATM-TCR,0.81,0.78,0.72
HS,ERGO-AE,0.81,0.78,0.74
HS,NetTCR,0.80,0.78,0.74
HS,ERGO-lstm,0.79,0.77,0.75
HS,vibtcr,0.79,0.76,0.74
HS,DLpTCR,0.7859931247837973,0.7414572417952199,0.6373253269400452
HS,TCRGP,0.81,0.73,
HS,PiTE,0.73,0.73,0.69
HS,ERGO-II,0.7061999985539639,0.7208286939456349,0.6980051212541647
HS,UnifyImmun,0.7363791944132345,0.7194988944704633,0.6935204289663572
HS,TCR-BERT,0.80,0.71,
HS,VitTCR,0.76,0.70,0.60
HS,TEINet,0.70,0.69,0.67
HS,TCR-H,0.73,0.68,0.62
HS,T-SCAPE,0.6949297555545721,0.6754971688571537,0.6686591810895957
HS,UniPMT,0.7212439707363534,0.6719164746340874,0.6296261816495929
HS,PanPep,0.6106839701666212,0.6278164979812187,0.6103047045396808
HS,ImRex,0.64,0.62,0.60
HS,SETE,0.57,0.59,
HS,DeepTCR,0.52,0.53,0.52
HS,MCMC,0.50,0.50,0.50
HS,TPBTE,0.50,0.50,0.50
HS,TITAN,0.49,0.48,0.49
HS,DLpTCR-RESNET,0.37,0.38,0.39
HS,DLpTCR-CNN,0.35,0.37,0.39
HS,DLpTCR-FULL,0.35,0.37,0.38
