negative_source,method,seen_test_auprc,seen_independent_auprc,unseen_independent_auprc
PS,TEPCAM,0.83,0.79,0.63
PS,epiTCR,0.83,0.78,0.62
PS,AntigenLM,,0.77,0.64
PS,TEIM,0.82,0.76,0.63
PS,ATM-TCR,0.80,0.76,0.62
PS,NetTCR,0.78,0.75,0.63
PS,AttnTAP,0.79,0.73,0.63
PS,ERGO-AE,0.79,0.72,0.62
PS,ERGO-lstm,0.76,0.72,0.62
PS,vibtcr,0.77,0.71,0.62
PS,TCRGP,0.80,0.70,
PS,TCR-BERT,0.80,0.69,
PS,PiTE,0.72,0.69,0.61
PS,DLpTCR,0.7696683872279788,0.6871801383675746,0.5572114298864749
PS,VitTCR,0.76,0.67,0.54
PS,ERGO-II,0.7136372252277556,0.6642877335239504,0.6080470277170203
PS,UnifyImmun,0.7395300507247814,0.6588934721259372,0.5955960845703855
PS,TCR-H,0.73,0.65,0.57
PS,TEINet,0.69,0.65,0.59
PS,T-SCAPE,0.6739102989356672,0.6385233604207003,0.5772673122062906
PS,UniPMT,0.7101238336288724,0.6369209147969548,0.5652829992762639
PS,SETE,0.57,0.60,
PS,ImRex,0.64,0.58,0.54
PS,PanPep,0.6125648111255707,0.5753140128474135,0.5407510476764672
PS,DeepTCR,0.51,0.52,0.49
PS,TITAN,0.51,0.50,0.51
PS,MCMC,0.50,0.50,0.50
PS,TPBTE,0.50,0.50,0.50
PS,DLpTCR-RESNET,0.37,0.39,0.42
PS,DLpTCR-CNN,0.35,0.38,0.42
PS,DLpTCR-FULL,0.35,0.38,0.42
