setting,method,eval,fold_count,n_total,source_file,accuracy_mean,accuracy_sd,accuracy_mean_sd,precision_mean,precision_sd,precision_mean_sd,recall_mean,recall_sd,recall_mean_sd,f1_mean,f1_sd,f1_mean_sd,auroc_mean,auroc_sd,auroc_mean_sd,auprc_mean,auprc_sd,auprc_mean_sd
AS,DLpTCR,test,5,152264,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/AS/DLpTCR/test_metrics.csv,0.6499867830648256,0.0021509049643939,0.6500 +/- 0.0022,0.6611036171815351,0.0059683719084789,0.6611 +/- 0.0060,0.616197626147366,0.0263381510765946,0.6162 +/- 0.0263,0.6375247616873571,0.0110559846870774,0.6375 +/- 0.0111,0.7127040572423629,0.0028262955723152,0.7127 +/- 0.0028,0.7240098788178752,0.0019200141735274,0.7240 +/- 0.0019
AS,DLpTCR,seen_independent,5,29410,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/AS/DLpTCR/seen_independent_metrics.csv,0.5521251275076505,0.005024081893938,0.5521 +/- 0.0050,0.5494169337274005,0.0073046538352983,0.5494 +/- 0.0073,0.5827269636178172,0.0334392388953201,0.5827 +/- 0.0334,0.565064295112548,0.0138739154372559,0.5651 +/- 0.0139,0.5791249671512082,0.0103177704767993,0.5791 +/- 0.0103,0.5767488145360963,0.0110198748050651,0.5767 +/- 0.0110
AS,DLpTCR,unseen_independent,5,15810,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/AS/DLpTCR/unseen_independent_metrics.csv,0.4947501581277672,0.0060279665450668,0.4948 +/- 0.0060,0.4943981292103576,0.0066316767833695,0.4944 +/- 0.0066,0.4549019607843137,0.0447060505926939,0.4549 +/- 0.0447,0.4729138821248928,0.0234194356250281,0.4729 +/- 0.0234,0.4958826369910555,0.0082336204931882,0.4959 +/- 0.0082,0.4984169277484757,0.0107170756495762,0.4984 +/- 0.0107
AS,ERGO-II,test,5,152264,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/AS/ERGO-II/test_metrics.csv,0.5618842100672008,0.0360576265152319,0.5619 +/- 0.0361,0.5550475716223351,0.03107570166337,0.5550 +/- 0.0311,0.7131120247720711,0.1823345131097084,0.7131 +/- 0.1823,0.6132307617329371,0.0501318583045819,0.6132 +/- 0.0501,0.5996505020587968,0.0589160091900596,0.5997 +/- 0.0589,0.6080445682097713,0.0627659977283112,0.6080 +/- 0.0628
AS,ERGO-II,seen_independent,5,29410,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/AS/ERGO-II/seen_independent_metrics.csv,0.5162189731383883,0.0150300940660417,0.5162 +/- 0.0150,0.5130895843985315,0.0113920551618094,0.5131 +/- 0.0114,0.6882012920775246,0.1952538843461906,0.6882 +/- 0.1953,0.5787594354374731,0.0655979488605249,0.5788 +/- 0.0656,0.5286135665249742,0.0222661147918649,0.5286 +/- 0.0223,0.532143549030836,0.0209500510174304,0.5321 +/- 0.0210
AS,ERGO-II,unseen_independent,5,15810,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/AS/ERGO-II/unseen_independent_metrics.csv,0.500506008855155,0.0057563720041146,0.5005 +/- 0.0058,0.5010650023112666,0.0059101226936239,0.5011 +/- 0.0059,0.6996837444655281,0.1986816843765315,0.6997 +/- 0.1987,0.5744801066428445,0.0674790494583714,0.5745 +/- 0.0675,0.4965853203822591,0.0084503426653571,0.4966 +/- 0.0085,0.4981817514494403,0.0085633407096488,0.4982 +/- 0.0086
AS,PanPep,test,5,152264,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/AS/PanPep/test_metrics.csv,0.5116099509583032,0.0072831143385527,0.5116 +/- 0.0073,0.5114126757045886,0.006860956185592,0.5114 +/- 0.0069,0.5148073417265573,0.0557381980438414,0.5148 +/- 0.0557,0.511981074192804,0.0290415705299938,0.5120 +/- 0.0290,0.5159242703864677,0.0099404788041466,0.5159 +/- 0.0099,0.5131096375508222,0.0092951360303536,0.5131 +/- 0.0093
AS,PanPep,seen_independent,5,29410,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/AS/PanPep/seen_independent_metrics.csv,0.5042162529751786,0.0050909468702296,0.5042 +/- 0.0051,0.5039997508231938,0.0060211888879566,0.5040 +/- 0.0060,0.4556273376402583,0.1040206825459946,0.4556 +/- 0.1040,0.4738842648167952,0.0600596239709211,0.4739 +/- 0.0601,0.5062160145793719,0.0034667110639473,0.5062 +/- 0.0035,0.5070306753694281,0.0076296801131755,0.5070 +/- 0.0076
AS,PanPep,unseen_independent,5,15810,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/AS/PanPep/unseen_independent_metrics.csv,0.5020240354206198,0.0063825663681739,0.5020 +/- 0.0064,0.5020827754286995,0.0067728380171419,0.5021 +/- 0.0068,0.5240986717267552,0.0860489408196868,0.5241 +/- 0.0860,0.5101856612220598,0.0388212457919518,0.5102 +/- 0.0388,0.5060263782320176,0.0085348937147959,0.5060 +/- 0.0085,0.5076514811488414,0.011756502031345,0.5077 +/- 0.0118
AS,T-SCAPE,test,5,152264,/home/dataset-assist-0/hpfs/AntigenLM/pTCR2/cv_results/CDR3_only_seen/AS/T-SCAPE/test_metrics.csv,0.5234017432286344,0.053123064090426,0.5234 +/- 0.0531,0.5005584242055171,0.0734410618562605,0.5006 +/- 0.0734,0.7366032717913107,0.4307728629628948,0.7366 +/- 0.4308,0.5304761683341355,0.2898707097822243,0.5305 +/- 0.2899,0.5398388593891688,0.0824495951409371,0.5398 +/- 0.0824,0.54143921073324,0.0895088730243788,0.5414 +/- 0.0895
