Method,ROC_AUC,PR_AUC,Accuracy,F1-score,MCC,Precision,Recall
AntigenLM_12layers,0.9665±0.0160,0.8561±0.0334,0.9535±0.0062,0.7596±0.0468,0.7443±0.0481,0.7260±0.0700,0.8263±0.1425
AntigenLM,0.9721±0.0150,0.8803±0.0107,0.9633±0.0032,0.8009±0.0222,0.7825±0.0241,0.7911±0.0353,0.8165±0.0656
AntigenLM_4layers,0.9713±0.0146,0.8533±0.0339,0.9548±0.0112,0.7803±0.0403,0.7622±0.0413,0.7128±0.0762,0.8699±0.0298
AntigenLM_no_window,0.9646±0.0156,0.8644±0.0174,0.9462±0.0181,0.7527±0.0472,0.7389±0.0437,0.6854±0.1231,0.8701±0.0858
AntigenLM_random-mlm15,0.9680±0.0164,0.8447±0.0318,0.9519±0.0058,0.7612±0.0085,0.7436±0.0066,0.7076±0.0739,0.8434±0.0884
AntigenLM_random-mlm20,0.9644±0.0169,0.8378±0.0373,0.9471±0.0183,0.7383±0.0520,0.7203±0.0481,0.7081±0.1074,0.8034±0.1084
ESMC_300M_two_stage_last8,0.9710±0.0148,0.8730±0.0154,0.9608±0.0053,0.7881±0.0303,0.7707±0.0296,0.7841±0.0615,0.8058±0.0903
Fine-esm3,0.9717±0.0102,0.8489±0.0197,0.9320±0.0184,0.7104±0.0465,0.6957±0.0411,0.5950±0.0751,0.8972±0.0495
MicroLM,0.9657±0.0139,0.8595±0.0120,0.9510±0.0097,0.7623±0.0252,0.7444±0.0239,0.7014±0.0871,0.8523±0.0617
PathogLM,0.9656±0.0162,0.8627±0.0173,0.9501±0.0126,0.7554±0.0287,0.7379±0.0248,0.7122±0.1011,0.8303±0.0854
