repeat,split,rows,ratio,clusters,unique_peptides,positive,negative,positive_rate,unique_hla,max_hla_freq_delta
1,train,77576,0.699955,1012,20433,38762,38814,0.499665,129,0.000315
1,val,16626,0.150014,214,4295,8306,8320,0.499579,112,0.000777
1,test,16628,0.150032,214,4338,8303,8325,0.499338,115,0.001079
2,train,77572,0.699919,1007,20438,38752,38820,0.499562,130,0.000337
2,val,16627,0.150023,216,4295,8307,8320,0.499609,113,0.001295
2,test,16631,0.150059,217,4333,8312,8319,0.499790,106,0.002377
3,train,77577,0.699964,1011,20306,38761,38816,0.499646,130,0.000281
3,val,16628,0.150032,217,4419,8308,8320,0.499639,110,0.000852
3,test,16625,0.150005,212,4341,8302,8323,0.499368,113,0.001199
4,train,77578,0.699973,1011,20354,38762,38816,0.499652,128,0.000247
4,val,16629,0.150041,216,4415,8305,8324,0.499429,109,0.000817
4,test,16623,0.149986,213,4297,8304,8319,0.499549,110,0.000940
5,train,77574,0.699937,1009,20360,38752,38822,0.499549,130,0.000423
5,val,16628,0.150032,217,4354,8312,8316,0.499880,110,0.001376
5,test,16628,0.150032,214,4352,8307,8321,0.499579,112,0.000952
