fold,split,rows,peptides,tcrs,positive,negative,ratio
1,train,182164,939,177618,91082,91082,0.5999973650233196
1,val,60722,674,60118,30361,30361,0.20000131748834024
1,test,60722,671,60072,30361,30361,0.20000131748834024
2,train,182164,943,177614,91082,91082,0.5999973650233196
2,val,60722,654,60153,30361,30361,0.20000131748834024
2,test,60722,672,60145,30361,30361,0.20000131748834024
3,train,182164,937,177521,91082,91082,0.5999973650233196
3,val,60722,668,60119,30361,30361,0.20000131748834024
3,test,60722,657,60123,30361,30361,0.20000131748834024
4,train,182165,930,177553,91082,91083,0.6000006587441701
4,val,60722,680,60088,30361,30361,0.20000131748834024
4,test,60721,673,60177,30361,30360,0.19999802376748965
5,train,182165,936,177519,91083,91082,0.6000006587441701
5,val,60722,659,60092,30361,30361,0.20000131748834024
5,test,60721,670,60116,30360,30361,0.19999802376748965
