fold,split,rows,peptides,tcrs,positive,negative,support_rows_in_split
1,train,190830,155,186276,95415,95415,7800
1,val,42258,116,42041,21129,21129,0
1,test,56445,116,56056,28222,28223,0
2,train,190888,155,186373,95444,95444,7800
2,val,42257,117,42003,21128,21129,0
2,test,56388,115,55980,28194,28194,0
3,train,190925,155,186308,95462,95463,7800
3,val,42258,115,42030,21129,21129,0
3,test,56350,117,55969,28175,28175,0
4,train,190979,157,186384,95489,95490,7800
4,val,42258,115,42031,21129,21129,0
4,test,56296,115,55867,28148,28148,0
5,train,191021,156,186381,95510,95511,7800
5,val,42258,116,42048,21129,21129,0
5,test,56254,115,55826,28127,28127,0
